Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,Position,TrackStatus,LapTime,Sector1Time,Sector2Time,Sector3Time,year,gp,session_code,speed_mean,speed_max,speed_std,throttle_mean,throttle_std,brake_ratio,rpm_mean,gear_mean,drs_ratio,CompoundEncoded,lap_time_mean_3,lap_time_delta,speed_delta,throttle_delta,brake_delta,degradation_score,aggression_score,consistency_score,efficiency_score,drs_usage_intensity,tyre_ratio,stint_progress,session_baseline,LapTimeResidual
GAS,10,Alpine,15.0,5.0,SOFT,6.0,0.0,1,105.004,20.235,42.356,42.413,2023,Abu Dhabi Grand Prix,Q,178.2051282051282,279.0,64.05086325861465,52.10769230769231,41.42566908244474,0.1307692307692307,9690.16923076923,4.294871794871795,1.0,0.0,101.04666666666667,20.456000000000003,-43.719953228096585,-21.794587822600853,0.003733400150338184,64.30672245886582,45.293609467455624,13.371526390057346,0.01838840329393188,279.0,1.0,1.0,95.479,9.525000000000006
GAS,10,Alpine,17.0,6.0,SOFT,2.0,0.0,1,84.533,17.247,36.455,30.831,2023,Abu Dhabi Grand Prix,Q,225.37764350453173,327.0,68.69695848240396,74.9607250755287,39.24169433164331,0.1238670694864048,10454.39577039275,5.504531722054381,1.0,0.0,91.36166666666668,-20.471000000000004,47.17251529940353,22.85303276783639,-0.006902161282825892,-67.51964822991712,65.6755597338469,13.97833177457167,0.02155610829603876,327.0,0.3333333333333333,1.0,95.479,-10.945999999999998
PER,11,Red Bull Racing,2.0,1.0,SOFT,2.0,0.0,1,84.74,17.235,36.468,31.037,2023,Abu Dhabi Grand Prix,Q,223.36163522012575,332.0,69.21797080593393,73.45283018867924,40.8068773373012,0.1540880503144654,10467.9213836478,5.588050314465409,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.134626794826154,0.0,0.021335687511132826,332.0,0.3333333333333333,0.5,95.479,-10.739000000000004
PER,11,Red Bull Racing,3.0,1.0,SOFT,3.0,0.0,1,108.342,20.784,45.781,41.777,2023,Abu Dhabi Grand Prix,Q,173.5062656641604,272.0,62.087184088018496,48.3734335839599,41.17804698815582,0.1704260651629072,9490.238095238095,4.360902255639098,1.0,0.0,0.0,23.602000000000004,-49.85536955596535,-25.079396604719342,0.0163380148484418,73.62779562112827,40.129339639826384,0.0,0.018280677812856812,272.0,0.5,1.0,95.479,12.863
PER,11,Red Bull Racing,5.0,2.0,SOFT,2.0,0.0,1,84.209,17.17,36.261,30.778,2023,Abu Dhabi Grand Prix,Q,223.26018808777428,333.0,69.4654659323409,72.27272727272727,41.27638369992731,0.1504702194357366,10313.89028213166,5.633228840125392,1.0,0.0,92.43033333333334,-24.132999999999996,49.753922423613886,23.899293688767365,-0.0199558457271706,-73.73645220417815,61.39783414078085,0.0,0.021644455925481317,333.0,0.3333333333333333,0.5,95.479,-11.269999999999996
PER,11,Red Bull Racing,6.0,2.0,SOFT,3.0,0.0,1,112.379,22.214,45.001,45.164,2023,Abu Dhabi Grand Prix,Q,166.26303317535545,274.0,57.39068516947829,39.46682464454976,37.64596408309793,0.1492890995260663,9211.744075829383,4.277251184834123,1.0,0.0,101.64333333333333,28.17,-56.997154912418836,-32.805902628177506,-0.0011811199096702918,85.31644401194491,33.57485793221176,0.0,0.01804706956004175,274.0,0.5,1.0,95.479,16.900000000000006
PER,11,Red Bull Racing,8.0,3.0,SOFT,5.0,0.0,1,84.116,17.258,36.21,30.648,2023,Abu Dhabi Grand Prix,Q,218.61111111111111,331.0,70.45963647023045,72.31172839506173,40.20248730934307,0.1358024691358024,10368.453703703704,5.487654320987654,1.0,0.0,93.568,-28.263000000000005,52.34807793575567,32.844903750511975,-0.013486630390263904,-80.47527546661988,62.49161713153484,14.317110242643242,0.021082220660576245,331.0,0.8333333333333334,0.5,95.479,-11.363
PER,11,Red Bull Racing,9.0,3.0,SOFT,6.0,0.0,1,104.664,20.367,42.973,41.324,2023,Abu Dhabi Grand Prix,Q,179.02255639097746,274.0,63.77659652098255,51.9874686716792,44.56182361594156,0.1528822055137844,9482.10776942356,4.486215538847118,1.0,0.0,100.38633333333333,20.548000000000002,-39.58855472013366,-20.324259723382532,0.01707973637798199,60.28943692564744,44.039509802074114,13.586075757922153,0.018878047233439756,274.0,1.0,1.0,95.479,9.185000000000002
PER,11,Red Bull Racing,11.0,4.0,SOFT,2.0,0.0,1,108.88,17.213,38.683,52.984,2023,Abu Dhabi Grand Prix,Q,170.71394230769232,332.0,76.56440645145845,44.12980769230769,41.824907273019306,0.1033653846153846,9144.85576923077,4.425480769230769,1.0,0.0,99.21999999999998,4.215999999999994,-8.308614083285136,-7.857660979371509,-0.0495168208983998,12.627979467900515,39.56831314718935,13.682899667102728,0.01866571555633121,332.0,0.3333333333333333,1.0,95.479,13.400999999999996
PER,11,Red Bull Racing,13.0,5.0,SOFT,4.0,0.0,1,84.171,17.309,36.259,30.603,2023,Abu Dhabi Grand Prix,Q,222.44585987261144,331.0,69.08881119721802,73.68471337579618,39.74060407464768,0.1273885350318471,10393.101910828023,5.560509554140127,1.0,0.0,99.23833333333334,-24.70899999999999,51.731917564919115,29.554905683488485,0.02402315041646251,-76.31352902988726,64.29812568461196,13.693071368396497,0.02140116209952484,331.0,0.6666666666666666,0.5,95.479,-11.307999999999993
PER,11,Red Bull Racing,14.0,5.0,SOFT,5.0,0.0,1,103.144,20.359,42.676,40.109,2023,Abu Dhabi Grand Prix,Q,178.94101876675603,275.0,61.98132528355264,52.85522788203753,43.09841770121576,0.1769436997319035,9593.436997319037,4.506702412868632,1.0,0.0,98.73166666666668,18.973,-43.504841105855405,-20.829485493758646,0.04955516470005639,62.654784805587305,43.50282831041695,11.918479391264642,0.018650497034558393,275.0,0.8333333333333334,1.0,95.479,7.665000000000006
PER,11,Red Bull Racing,16.0,6.0,SOFT,2.0,0.0,1,83.868,17.144,36.206,30.518,2023,Abu Dhabi Grand Prix,Q,223.915625,331.0,70.31404524599476,74.184375,39.85341958853326,0.13125,10399.10625,5.609375,1.0,0.0,90.39433333333334,-19.27600000000001,44.974606233243975,21.32914711796247,-0.04569369973190349,-64.11935623324399,64.44767578125,11.98580192561182,0.02153012859844581,331.0,0.3333333333333333,0.5,95.479,-11.611000000000004
PER,11,Red Bull Racing,17.0,6.0,SOFT,3.0,0.0,1,118.504,23.939,51.779,42.786,2023,Abu Dhabi Grand Prix,Q,158.1354401805869,268.0,58.54440774150457,36.28668171557562,35.48062346163776,0.1715575620767494,8831.871331828443,4.121896162528217,1.0,0.0,101.83866666666667,34.63600000000001,-65.78018481941311,-37.897693284424385,0.040307562076749404,100.58774238148986,30.061427064596504,15.342140652464371,0.01790306167041745,268.0,0.5,1.0,95.479,23.025000000000006
