Driver,LapTime,Compound,TyreLife,Position,lap_time_mean_3,lap_time_delta,tyre_ratio
ALO,78.776,2.0,5.0,2.0,79.17833333333334,-0.3370000000000033,0.09090909090909091
ALO,77.939,2.0,6.0,2.0,78.60933333333332,-0.8370000000000033,0.10909090909090909
ALO,77.952,2.0,7.0,2.0,78.22233333333332,0.01300000000000523,0.12727272727272726
ALO,77.505,2.0,8.0,2.0,77.79866666666665,-0.44700000000000273,0.14545454545454545
ALO,77.391,2.0,9.0,2.0,77.616,-0.11399999999999011,0.16363636363636364
ALO,77.783,2.0,10.0,2.0,77.55966666666667,0.3919999999999959,0.18181818181818182
ALO,77.324,2.0,11.0,2.0,77.49933333333334,-0.4590000000000032,0.2
ALO,77.249,2.0,12.0,2.0,77.452,-0.07500000000000284,0.21818181818181817
ALO,77.588,2.0,13.0,2.0,77.38699999999999,0.33899999999999864,0.23636363636363636
ALO,78.443,2.0,14.0,2.0,77.75999999999999,0.855000000000004,0.2545454545454545
ALO,77.508,2.0,15.0,2.0,77.84633333333333,-0.9350000000000023,0.2727272727272727
ALO,77.444,2.0,16.0,2.0,77.79833333333333,-0.06399999999999295,0.2909090909090909
ALO,77.17,2.0,17.0,2.0,77.37400000000001,-0.2740000000000009,0.3090909090909091
ALO,77.699,2.0,18.0,2.0,77.43766666666666,0.5289999999999964,0.32727272727272727
ALO,77.528,2.0,19.0,2.0,77.46566666666666,-0.17099999999999227,0.34545454545454546
ALO,77.258,2.0,20.0,2.0,77.495,-0.27000000000001023,0.36363636363636365
ALO,77.13,2.0,21.0,2.0,77.30533333333334,-0.1280000000000001,0.38181818181818183
ALO,77.664,2.0,22.0,2.0,77.35066666666667,0.534000000000006,0.4
ALO,77.947,2.0,23.0,2.0,77.58033333333333,0.28300000000000125,0.41818181818181815
ALO,77.272,2.0,24.0,2.0,77.62766666666666,-0.6749999999999972,0.43636363636363634
ALO,77.285,2.0,25.0,2.0,77.50133333333333,0.012999999999991019,0.45454545454545453
ALO,77.182,2.0,26.0,2.0,77.24633333333334,-0.10299999999999443,0.4727272727272727
ALO,77.141,2.0,27.0,2.0,77.20266666666667,-0.04099999999999682,0.4909090909090909
ALO,77.228,2.0,28.0,2.0,77.18366666666667,0.08699999999998909,0.509090909090909
ALO,77.562,2.0,29.0,2.0,77.31033333333333,0.3340000000000032,0.5272727272727272
ALO,77.111,2.0,30.0,2.0,77.30033333333333,-0.4509999999999934,0.5454545454545454
ALO,76.965,2.0,31.0,2.0,77.21266666666666,-0.1460000000000008,0.5636363636363636
ALO,77.259,2.0,32.0,2.0,77.11166666666668,0.29399999999999693,0.5818181818181818
ALO,77.637,2.0,33.0,2.0,77.28699999999999,0.3780000000000001,0.6
ALO,77.816,2.0,34.0,2.0,77.57066666666667,0.17900000000000205,0.6181818181818182
ALO,79.297,2.0,35.0,2.0,78.25,1.4809999999999945,0.6363636363636364
ALO,78.634,2.0,36.0,2.0,78.58233333333332,-0.6629999999999967,0.6545454545454545
ALO,77.876,2.0,37.0,2.0,78.60233333333333,-0.7579999999999956,0.6727272727272727
ALO,77.974,2.0,38.0,2.0,78.16133333333333,0.09799999999999898,0.6909090909090909
ALO,77.141,2.0,39.0,2.0,77.66366666666667,-0.8329999999999984,0.7090909090909091
ALO,77.705,2.0,40.0,2.0,77.60666666666667,0.563999999999993,0.7272727272727273
ALO,77.63,2.0,41.0,2.0,77.492,-0.07500000000000284,0.7454545454545455
ALO,77.016,2.0,42.0,2.0,77.45033333333333,-0.6139999999999901,0.7636363636363637
ALO,76.719,2.0,43.0,2.0,77.12166666666667,-0.29700000000001125,0.7818181818181819
ALO,76.674,2.0,44.0,2.0,76.80300000000001,-0.044999999999987494,0.8
ALO,76.919,2.0,45.0,2.0,76.77066666666667,0.24499999999999034,0.8181818181818182
ALO,76.862,2.0,46.0,2.0,76.81833333333333,-0.05700000000000216,0.8363636363636363
ALO,77.114,2.0,47.0,2.0,76.96499999999999,0.25200000000000955,0.8545454545454545
ALO,77.108,2.0,48.0,2.0,77.028,-0.006000000000000227,0.8727272727272727
ALO,76.931,2.0,49.0,2.0,77.051,-0.1770000000000067,0.8909090909090909
ALO,76.992,2.0,50.0,2.0,77.01033333333334,0.06100000000000705,0.9090909090909091
ALO,77.408,2.0,51.0,2.0,77.11033333333333,0.4159999999999968,0.9272727272727272
ALO,79.991,2.0,52.0,2.0,78.13033333333334,2.5829999999999984,0.9454545454545454
ALO,84.967,2.0,53.0,2.0,80.78866666666666,4.975999999999999,0.9636363636363636
ALO,90.862,2.0,54.0,2.0,85.27333333333333,5.894999999999996,0.9818181818181818
ALO,110.311,2.0,55.0,2.0,95.38,19.449000000000012,1.0
ALO,126.635,1.0,2.0,2.0,109.26933333333334,16.323999999999998,0.03636363636363636
ALO,108.531,0.0,1.0,2.0,115.159,-18.104,0.01818181818181818
ALO,102.581,0.0,2.0,2.0,112.58233333333334,-5.950000000000003,0.03636363636363636
ALO,101.267,0.0,3.0,2.0,104.12633333333333,-1.3140000000000072,0.05454545454545454
ALO,100.897,0.0,4.0,2.0,101.58166666666666,-0.36999999999999034,0.07272727272727272
