Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,Position,TrackStatus,LapTime,Sector1Time,Sector2Time,Sector3Time,year,gp,session_code,speed_mean,speed_max,speed_std,throttle_mean,throttle_std,brake_ratio,rpm_mean,gear_mean,drs_ratio
VER,1,Red Bull Racing,36.0,2.0,SOFT,6.0,1.0,4,146.545,52.402,57.524,36.619,2023,Pre-Season Testing,R,145.4837545126354,264.0,51.77790856314013,35.94945848375451,34.97326762213047,0.26534296028880866,9219.862815884477,3.496389891696751,1.0
VER,1,Red Bull Racing,37.0,2.0,SOFT,7.0,1.0,4,143.835,49.228,57.444,37.163,2023,Pre-Season Testing,R,145.67117988394585,265.0,53.77004044248592,37.73887814313346,37.423041148689634,0.19922630560928434,9240.543520309478,3.5106382978723403,1.0
VER,1,Red Bull Racing,38.0,2.0,SOFT,8.0,1.0,41,141.674,41.251,57.488,42.935,2023,Pre-Season Testing,R,149.90512333965845,278.0,62.47550479937901,42.311195445920305,42.886111535515006,0.222011385199241,9360.288425047438,3.52561669829222,1.0
VER,1,Red Bull Racing,39.0,2.0,SOFT,9.0,1.0,1,90.348,28.668,36.724,24.956,2023,Pre-Season Testing,R,229.94378698224853,299.0,63.723157075226695,72.92011834319527,40.10316233988966,0.14201183431952663,10275.739644970414,5.902366863905326,1.0
VER,1,Red Bull Racing,40.0,2.0,SOFT,10.0,1.0,1,90.547,29.056,36.602,24.889,2023,Pre-Season Testing,R,230.32463768115943,296.0,66.25386431423397,73.02898550724638,39.835187719576005,0.13333333333333333,10240.52463768116,5.956521739130435,1.0
VER,1,Red Bull Racing,41.0,2.0,SOFT,11.0,1.0,1,90.688,29.118,36.63,24.94,2023,Pre-Season Testing,R,232.80769230769232,299.0,65.24394988834322,74.12721893491124,39.73784753809431,0.19822485207100593,10397.171597633136,5.93491124260355,0.011834319526627219
VER,1,Red Bull Racing,42.0,2.0,SOFT,12.0,1.0,1,90.275,29.078,36.353,24.844,2023,Pre-Season Testing,R,231.15,298.0,66.03626763429205,74.68823529411765,39.222719055312396,0.1323529411764706,10409.55588235294,5.844117647058823,0.0
VER,1,Red Bull Racing,43.0,2.0,SOFT,13.0,1.0,1,90.535,29.205,36.344,24.986,2023,Pre-Season Testing,R,229.49854227405248,299.0,68.08658379303272,73.07871720116619,39.848869268466665,0.13411078717201166,10360.145772594753,5.82798833819242,0.0
VER,1,Red Bull Racing,44.0,2.0,SOFT,14.0,1.0,1,90.648,29.135,36.586,24.927,2023,Pre-Season Testing,R,229.22058823529412,299.0,68.05477699779296,73.0264705882353,39.957453839052576,0.1323529411764706,10368.270588235295,5.785294117647059,0.0
VER,1,Red Bull Racing,45.0,2.0,SOFT,15.0,1.0,1,91.342,29.245,36.759,25.338,2023,Pre-Season Testing,R,228.67857142857142,299.0,67.9344127447056,72.36904761904762,40.338649963543745,0.13988095238095238,10417.767857142857,5.747023809523809,0.0
VER,1,Red Bull Racing,46.0,2.0,SOFT,16.0,1.0,1,91.114,29.413,36.576,25.125,2023,Pre-Season Testing,R,228.80115273775215,299.0,69.70414935980291,72.86167146974063,40.16970360074274,0.13256484149855907,10351.489913544669,5.778097982708934,0.0
VER,1,Red Bull Racing,47.0,2.0,SOFT,17.0,1.0,1,91.148,29.339,36.621,25.188,2023,Pre-Season Testing,R,230.07894736842104,298.0,67.33696218502935,73.44736842105263,39.66866261472643,0.14327485380116958,10423.38596491228,5.719298245614035,0.0
VER,1,Red Bull Racing,48.0,2.0,SOFT,18.0,1.0,1,91.4,29.405,36.769,25.226,2023,Pre-Season Testing,R,228.27246376811595,298.0,69.08581595592486,72.4,39.94861525090847,0.13623188405797101,10277.811594202898,5.814492753623188,0.0
VER,1,Red Bull Racing,49.0,2.0,SOFT,19.0,1.0,1,91.218,29.336,36.686,25.196,2023,Pre-Season Testing,R,231.07267441860466,299.0,66.6597291051488,72.96802325581395,40.203442125809396,0.14244186046511628,10438.22965116279,5.828488372093023,0.0
VER,1,Red Bull Racing,50.0,2.0,SOFT,20.0,1.0,1,91.292,29.424,36.739,25.129,2023,Pre-Season Testing,R,228.5186246418338,301.0,69.38869216523544,72.07449856733524,40.43080021999165,0.1489971346704871,10308.61318051576,5.893982808022923,0.0
VER,1,Red Bull Racing,51.0,2.0,SOFT,21.0,1.0,1,91.397,29.4,36.701,25.296,2023,Pre-Season Testing,R,228.08163265306123,300.0,69.10086098696249,70.95043731778425,40.570138437638214,0.15160349854227406,10246.516034985423,5.8425655976676385,0.0
VER,1,Red Bull Racing,52.0,2.0,SOFT,22.0,1.0,1,90.975,29.22,36.604,25.151,2023,Pre-Season Testing,R,231.03468208092485,301.0,67.63147333136473,73.47976878612717,40.01595183306034,0.13005780346820808,10356.806358381504,5.878612716763006,0.0
GAS,10,Alpine,1.0,1.0,MEDIUM,1.0,9.0,1,101.014,,39.27,26.911,2023,Pre-Season Testing,R,206.61942257217848,301.0,72.24949127981466,66.94750656167979,40.348904313410046,0.17585301837270342,10429.286089238845,4.829396325459317,1.0
GAS,10,Alpine,2.0,1.0,MEDIUM,2.0,9.0,1,94.706,29.954,38.367,26.385,2023,Pre-Season Testing,R,220.32773109243698,302.0,67.9079154977778,69.24929971988796,40.54996960073571,0.15126050420168066,10153.019607843138,5.428571428571429,1.0
GAS,10,Alpine,3.0,1.0,MEDIUM,3.0,9.0,1,93.605,29.596,38.168,25.841,2023,Pre-Season Testing,R,223.52023121387282,318.0,69.7841051289048,70.22254335260115,40.69205185938773,0.12716763005780346,10187.930635838151,5.508670520231214,0.29190751445086704
GAS,10,Alpine,4.0,1.0,MEDIUM,4.0,9.0,1,93.349,29.492,38.086,25.771,2023,Pre-Season Testing,R,223.19113573407202,314.0,69.75695528114322,69.45983379501385,40.96203077885488,0.14127423822714683,10162.725761772854,5.50415512465374,0.27977839335180055
GAS,10,Alpine,5.0,1.0,MEDIUM,5.0,9.0,1,93.863,29.566,38.12,26.177,2023,Pre-Season Testing,R,222.92690058479533,304.0,68.68661402187965,70.0,40.871876197816256,0.14912280701754385,10321.087719298246,5.374269005847953,0.15789473684210525
GAS,10,Alpine,6.0,1.0,MEDIUM,6.0,9.0,1,94.143,29.697,38.381,26.065,2023,Pre-Season Testing,R,222.6153846153846,312.0,70.14173281842825,68.6510989010989,41.31384580910377,0.1510989010989011,10124.041208791208,5.510989010989011,0.2967032967032967
GAS,10,Alpine,7.0,1.0,MEDIUM,7.0,9.0,1,94.399,29.916,38.456,26.027,2023,Pre-Season Testing,R,222.4494382022472,314.0,70.22840182019455,68.76404494382022,41.369451196803844,0.15168539325842698,10104.314606741573,5.525280898876405,0.28370786516853935
GAS,10,Alpine,8.0,1.0,MEDIUM,8.0,9.0,1,93.905,29.751,38.006,26.148,2023,Pre-Season Testing,R,225.38053097345133,311.0,70.64914375508525,71.84070796460178,39.852590741963255,0.13274336283185842,10167.929203539823,5.569321533923304,0.2949852507374631
GAS,10,Alpine,9.0,1.0,MEDIUM,9.0,9.0,1,93.592,29.741,37.85,26.001,2023,Pre-Season Testing,R,223.83333333333334,312.0,70.81374777830798,70.57627118644068,40.96749352840498,0.1384180790960452,10159.488700564973,5.508474576271187,0.2937853107344633
GAS,10,Alpine,10.0,1.0,MEDIUM,10.0,9.0,1,93.855,29.747,37.908,26.2,2023,Pre-Season Testing,R,225.72485207100593,309.0,70.20756448212812,70.59467455621302,41.557563324602434,0.13609467455621302,10149.559171597633,5.597633136094674,0.2988165680473373
GAS,10,Alpine,11.0,1.0,MEDIUM,11.0,9.0,1,93.836,29.877,37.962,25.997,2023,Pre-Season Testing,R,222.11830985915492,306.0,70.41930572367411,69.77464788732394,40.73144691616223,0.14366197183098592,10296.495774647887,5.3887323943661976,0.28732394366197184
