Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,TrackStatus,year,gp,session_code,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
GAS,10,Alpine,14.0,1.0,MEDIUM,14.0,9.0,93.843,29.922,38.058,25.863,1,2023,Pre-Season Testing,R,0 days 01:23:12.521000,21.4,58.0,1001.5,False,28.7,191,3.7
GAS,10,Alpine,15.0,1.0,MEDIUM,15.0,9.0,93.769,29.671,38.183,25.915,1,2023,Pre-Season Testing,R,0 days 01:24:12.519000,21.1,60.0,1001.5,False,27.8,229,4.5
GAS,10,Alpine,16.0,1.0,MEDIUM,16.0,9.0,93.535,29.712,37.938,25.885,1,2023,Pre-Season Testing,R,0 days 01:26:12.517000,20.7,63.0,1001.5,False,27.7,212,1.8
GAS,10,Alpine,17.0,1.0,MEDIUM,17.0,9.0,93.138,29.79,37.516,25.832,1,2023,Pre-Season Testing,R,0 days 01:28:12.531000,20.1,63.0,1001.4,False,27.9,222,2.2
GAS,10,Alpine,18.0,1.0,MEDIUM,18.0,9.0,93.291,29.817,37.714,25.76,1,2023,Pre-Season Testing,R,0 days 01:29:12.530000,20.1,64.0,1001.2,False,28.3,223,2.0
GAS,10,Alpine,19.0,1.0,MEDIUM,19.0,8.0,93.199,29.589,37.892,25.718,1,2023,Pre-Season Testing,R,0 days 01:31:12.528000,20.1,64.0,1001.4,False,28.9,239,3.4
GAS,10,Alpine,20.0,1.0,MEDIUM,20.0,8.0,93.248,29.99,37.599,25.659,1,2023,Pre-Season Testing,R,0 days 01:32:12.527000,20.2,64.0,1001.4,False,29.1,201,3.2
GAS,10,Alpine,21.0,1.0,MEDIUM,21.0,8.0,93.098,29.88,37.487,25.731,1,2023,Pre-Season Testing,R,0 days 01:34:12.524000,20.2,64.0,1001.4,False,29.4,206,2.0
GAS,10,Alpine,22.0,1.0,MEDIUM,22.0,8.0,93.168,29.877,37.485,25.806,1,2023,Pre-Season Testing,R,0 days 01:35:12.523000,20.2,64.0,1001.4,False,29.6,206,2.2
GAS,10,Alpine,23.0,1.0,MEDIUM,23.0,8.0,92.846,29.697,37.419,25.73,1,2023,Pre-Season Testing,R,0 days 01:37:12.521000,20.2,64.0,1001.4,False,29.6,204,2.5
GAS,10,Alpine,24.0,1.0,MEDIUM,24.0,8.0,93.164,29.923000000000002,37.606,25.635,1,2023,Pre-Season Testing,R,0 days 01:38:12.520000,20.2,63.0,1001.4,False,29.6,214,0.8
GAS,10,Alpine,25.0,1.0,MEDIUM,25.0,8.0,93.098,29.868,37.665,25.565,1,2023,Pre-Season Testing,R,0 days 01:40:12.534000,20.4,62.0,1001.4,False,30.9,145,1.7
GAS,10,Alpine,26.0,1.0,MEDIUM,26.0,8.0,93.243,29.779,37.709,25.755,1,2023,Pre-Season Testing,R,0 days 01:42:12.520000,20.5,63.0,1001.4,False,31.7,220,2.0
GAS,10,Alpine,27.0,1.0,MEDIUM,27.0,7.0,92.988,30.009,37.485,25.494,1,2023,Pre-Season Testing,R,0 days 01:43:12.534000,20.6,61.0,1001.4,False,32.4,225,2.4
GAS,10,Alpine,28.0,1.0,MEDIUM,28.0,7.0,93.255,29.97,37.39,25.895,1,2023,Pre-Season Testing,R,0 days 01:45:12.532000,20.8,62.0,1001.4,False,32.8,192,2.2
GAS,10,Alpine,29.0,1.0,MEDIUM,29.0,6.0,93.283,29.986,37.573,25.724,1,2023,Pre-Season Testing,R,0 days 01:46:12.562000,20.9,61.0,1001.4,False,33.3,175,2.5
GAS,10,Alpine,30.0,1.0,MEDIUM,30.0,5.0,93.299,30.065,37.476,25.758,1,2023,Pre-Season Testing,R,0 days 01:48:12.560000,21.0,61.0,1001.4,False,32.7,195,1.8
GAS,10,Alpine,31.0,1.0,MEDIUM,31.0,6.0,93.391,30.099,37.532,25.76,1,2023,Pre-Season Testing,R,0 days 01:49:12.528000,21.1,62.0,1001.2,False,32.4,207,3.0
GAS,10,Alpine,32.0,2.0,SOFT,4.0,11.0,126.804,49.808,41.774,35.222,126,2023,Pre-Season Testing,R,0 days 01:51:12.541000,21.0,62.0,1001.2,False,31.4,197,2.5
GAS,10,Alpine,33.0,2.0,SOFT,5.0,11.0,128.973,41.703,51.608,35.662,64,2023,Pre-Season Testing,R,0 days 01:53:12.571000,21.0,63.0,1001.2,False,30.6,226,1.2
GAS,10,Alpine,34.0,2.0,SOFT,6.0,11.0,125.716,41.573,52.848,31.295,4,2023,Pre-Season Testing,R,0 days 01:55:12.600000,20.9,63.0,1001.2,False,30.5,246,1.3
GAS,10,Alpine,35.0,2.0,SOFT,7.0,11.0,137.502,41.755,54.622,41.125,4,2023,Pre-Season Testing,R,0 days 01:57:12.613000,20.9,63.0,1001.2,False,30.1,238,1.1
GAS,10,Alpine,36.0,2.0,SOFT,8.0,11.0,144.007,54.35,52.856,36.801,4,2023,Pre-Season Testing,R,0 days 02:00:12.626000,20.8,63.0,1001.2,False,29.8,217,1.5
GAS,10,Alpine,37.0,2.0,SOFT,9.0,11.0,145.817,53.022,52.911,39.884,4,2023,Pre-Season Testing,R,0 days 02:02:12.639000,20.9,63.0,1001.2,False,29.7,246,0.8
GAS,10,Alpine,38.0,2.0,SOFT,10.0,11.0,133.934,39.488,55.306,39.14,41,2023,Pre-Season Testing,R,0 days 02:04:12.637000,20.9,63.0,1001.2,False,29.4,199,1.8
GAS,10,Alpine,39.0,2.0,SOFT,11.0,12.0,92.98,29.367,37.504,26.109,1,2023,Pre-Season Testing,R,0 days 02:07:12.634000,21.0,64.0,1001.2,False,29.3,201,1.2
GAS,10,Alpine,40.0,2.0,SOFT,12.0,12.0,92.823,29.676,37.533,25.614,1,2023,Pre-Season Testing,R,0 days 02:08:12.633000,21.0,63.0,1001.0,False,29.5,218,1.1
GAS,10,Alpine,41.0,2.0,SOFT,13.0,12.0,91.827,29.302,37.232,25.293,1,2023,Pre-Season Testing,R,0 days 02:10:12.646000,21.1,62.0,1001.0,False,29.7,192,2.4
GAS,10,Alpine,42.0,2.0,SOFT,14.0,12.0,91.539,29.165,37.137,25.237,1,2023,Pre-Season Testing,R,0 days 02:11:12.645000,21.2,61.0,1001.0,False,29.9,192,1.0
GAS,10,Alpine,43.0,2.0,SOFT,15.0,12.0,91.648,29.324,36.888,25.436,1,2023,Pre-Season Testing,R,0 days 02:13:12.674000,21.4,61.0,1001.0,False,30.7,177,1.7
GAS,10,Alpine,44.0,2.0,SOFT,16.0,11.0,92.862,29.35,37.864,25.648,1,2023,Pre-Season Testing,R,0 days 02:14:12.673000,21.4,57.0,1001.0,False,31.1,220,2.0
GAS,10,Alpine,45.0,2.0,SOFT,17.0,15.0,96.665,29.202,37.933,29.53,1,2023,Pre-Season Testing,R,0 days 02:16:12.702000,21.4,57.0,1001.0,False,30.4,212,2.0
PER,11,Red Bull Racing,1.0,1.0,MEDIUM,1.0,16.0,104.033,,40.304,26.999,1,2023,Pre-Season Testing,R,0 days 01:02:12.512000,21.4,54.0,1001.2,False,29.6,236,3.7
PER,11,Red Bull Racing,2.0,1.0,MEDIUM,2.0,15.0,95.482,30.357,38.727,26.398,1,2023,Pre-Season Testing,R,0 days 01:04:12.510000,21.4,55.0,1001.4,False,29.5,191,3.2
PER,11,Red Bull Racing,3.0,1.0,MEDIUM,3.0,15.0,94.38,30.134,38.414,25.832,1,2023,Pre-Season Testing,R,0 days 01:06:12.507000,21.5,54.0,1001.2,False,29.4,238,3.4
PER,11,Red Bull Racing,4.0,1.0,MEDIUM,4.0,15.0,94.339,29.668,38.564,26.107,1,2023,Pre-Season Testing,R,0 days 01:07:12.506000,21.4,55.0,1001.2,False,29.4,188,3.2
PER,11,Red Bull Racing,5.0,1.0,MEDIUM,5.0,14.0,94.073,29.706,38.28,26.087,1,2023,Pre-Season Testing,R,0 days 01:09:12.504000,21.4,55.0,1001.2,False,29.3,221,3.4
PER,11,Red Bull Racing,6.0,1.0,MEDIUM,6.0,13.0,93.671,29.579,38.359,25.733,1,2023,Pre-Season Testing,R,0 days 01:10:12.503000,21.5,55.0,1001.4,False,29.4,193,3.2
PER,11,Red Bull Racing,7.0,1.0,MEDIUM,7.0,13.0,93.919,29.883,38.065,25.971,1,2023,Pre-Season Testing,R,0 days 01:12:12.517000,21.4,54.0,1001.2,False,29.3,198,4.0
PER,11,Red Bull Racing,8.0,1.0,MEDIUM,8.0,13.0,93.568,29.897,37.909,25.762,1,2023,Pre-Season Testing,R,0 days 01:14:12.515000,21.5,55.0,1001.4,False,29.1,201,3.5
PER,11,Red Bull Racing,9.0,1.0,MEDIUM,9.0,13.0,93.271,29.541,37.868,25.862,1,2023,Pre-Season Testing,R,0 days 01:15:12.513000,21.4,55.0,1001.2,False,29.1,185,3.4
PER,11,Red Bull Racing,10.0,1.0,MEDIUM,10.0,12.0,93.364,29.769,37.805,25.79,1,2023,Pre-Season Testing,R,0 days 01:17:12.511000,21.3,55.0,1001.2,False,29.2,202,3.7
PER,11,Red Bull Racing,11.0,1.0,MEDIUM,11.0,12.0,93.547,29.769,37.845,25.933,1,2023,Pre-Season Testing,R,0 days 01:18:12.510000,21.4,55.0,1001.2,False,29.2,203,3.2
PER,11,Red Bull Racing,12.0,1.0,MEDIUM,12.0,11.0,93.429,29.824,38.0,25.605,1,2023,Pre-Season Testing,R,0 days 01:20:12.524000,21.3,55.0,1001.2,False,29.1,187,4.5
PER,11,Red Bull Racing,13.0,1.0,MEDIUM,13.0,11.0,93.452,29.892,37.777,25.783,1,2023,Pre-Season Testing,R,0 days 01:21:12.570000,21.4,56.0,1001.2,False,28.9,189,4.3
PER,11,Red Bull Racing,14.0,1.0,MEDIUM,14.0,11.0,93.751,30.06,37.957,25.734,1,2023,Pre-Season Testing,R,0 days 01:23:12.521000,21.4,58.0,1001.5,False,28.7,191,3.7
PER,11,Red Bull Racing,15.0,1.0,MEDIUM,15.0,11.0,93.48,29.808,37.868,25.804,1,2023,Pre-Season Testing,R,0 days 01:25:12.518000,20.9,61.0,1001.5,False,27.7,255,2.5
PER,11,Red Bull Racing,16.0,1.0,MEDIUM,16.0,10.0,93.055,29.795,37.899,25.361,1,2023,Pre-Season Testing,R,0 days 01:26:12.517000,20.7,63.0,1001.5,False,27.7,212,1.8
PER,11,Red Bull Racing,17.0,1.0,MEDIUM,17.0,10.0,93.28,30.009,37.544,25.727,1,2023,Pre-Season Testing,R,0 days 01:28:12.531000,20.1,63.0,1001.4,False,27.9,222,2.2
PER,11,Red Bull Racing,18.0,1.0,MEDIUM,18.0,10.0,93.099,29.904,37.549,25.646,1,2023,Pre-Season Testing,R,0 days 01:29:12.530000,20.1,64.0,1001.2,False,28.3,223,2.0
PER,11,Red Bull Racing,19.0,1.0,MEDIUM,19.0,9.0,93.276,30.001,37.54,25.735,1,2023,Pre-Season Testing,R,0 days 01:31:12.528000,20.1,64.0,1001.4,False,28.9,239,3.4
PER,11,Red Bull Racing,20.0,1.0,MEDIUM,20.0,9.0,93.202,29.931,37.611,25.66,1,2023,Pre-Season Testing,R,0 days 01:32:12.527000,20.2,64.0,1001.4,False,29.1,201,3.2
PER,11,Red Bull Racing,21.0,1.0,MEDIUM,21.0,9.0,93.233,29.985,37.612,25.636,1,2023,Pre-Season Testing,R,0 days 01:34:12.524000,20.2,64.0,1001.4,False,29.4,206,2.0
PER,11,Red Bull Racing,22.0,1.0,MEDIUM,22.0,9.0,93.026,30.023,37.422,25.581,1,2023,Pre-Season Testing,R,0 days 01:35:12.523000,20.2,64.0,1001.4,False,29.6,206,2.2
PER,11,Red Bull Racing,23.0,1.0,MEDIUM,23.0,9.0,93.262,30.067,37.554,25.641,1,2023,Pre-Season Testing,R,0 days 01:37:12.521000,20.2,64.0,1001.4,False,29.6,204,2.5
PER,11,Red Bull Racing,24.0,1.0,MEDIUM,24.0,9.0,92.726,29.884,37.353,25.489,1,2023,Pre-Season Testing,R,0 days 01:38:12.520000,20.2,63.0,1001.4,False,29.6,214,0.8
PER,11,Red Bull Racing,25.0,1.0,MEDIUM,25.0,9.0,92.907,29.9,37.539,25.468,1,2023,Pre-Season Testing,R,0 days 01:40:12.534000,20.4,62.0,1001.4,False,30.9,145,1.7
PER,11,Red Bull Racing,26.0,1.0,MEDIUM,26.0,9.0,92.962,29.956,37.492,25.514,1,2023,Pre-Season Testing,R,0 days 01:42:12.520000,20.5,63.0,1001.4,False,31.7,220,2.0
PER,11,Red Bull Racing,27.0,1.0,MEDIUM,27.0,8.0,92.742,30.002,37.472,25.268,1,2023,Pre-Season Testing,R,0 days 01:43:12.534000,20.6,61.0,1001.4,False,32.4,225,2.4
PER,11,Red Bull Racing,28.0,1.0,MEDIUM,28.0,8.0,92.235,29.82,37.427,24.988,1,2023,Pre-Season Testing,R,0 days 01:45:12.532000,20.8,62.0,1001.4,False,32.8,192,2.2
PER,11,Red Bull Racing,29.0,2.0,SOFT,1.0,13.0,110.559,49.11,36.462,24.987,1,2023,Pre-Season Testing,R,0 days 01:46:12.562000,20.9,61.0,1001.4,False,33.3,175,2.5
PER,11,Red Bull Racing,30.0,2.0,SOFT,2.0,12.0,91.408,29.472,36.72,25.216,1,2023,Pre-Season Testing,R,0 days 01:48:12.560000,21.0,61.0,1001.4,False,32.7,195,1.8
