Driver,LapTime,Compound,TyreLife,Position
SAR,83.236,MEDIUM,17.0,18.0
SAR,81.41,MEDIUM,18.0,17.0
SAR,82.328,MEDIUM,19.0,18.0
SAR,97.211,MEDIUM,20.0,20.0
SAR,81.646,HARD,1.0,20.0
SAR,77.483,HARD,2.0,20.0
SAR,98.195,HARD,3.0,20.0
SAR,80.682,SOFT,1.0,20.0
SAR,77.894,SOFT,2.0,20.0
SAR,78.033,SOFT,3.0,20.0
SAR,77.875,SOFT,4.0,20.0
SAR,77.74,SOFT,5.0,20.0
SAR,77.753,SOFT,6.0,20.0
SAR,77.535,SOFT,7.0,20.0
SAR,77.493,SOFT,8.0,20.0
SAR,77.302,SOFT,9.0,20.0
SAR,77.344,SOFT,10.0,20.0
SAR,77.666,SOFT,11.0,20.0
SAR,78.638,SOFT,12.0,20.0
SAR,77.372,SOFT,13.0,20.0
SAR,77.383,SOFT,14.0,20.0
SAR,80.017,SOFT,15.0,20.0
SAR,81.035,SOFT,16.0,20.0
SAR,79.469,SOFT,17.0,20.0
SAR,78.519,SOFT,18.0,20.0
SAR,78.625,SOFT,19.0,20.0
SAR,78.773,SOFT,20.0,20.0
SAR,82.125,SOFT,21.0,20.0
SAR,79.618,SOFT,22.0,20.0
SAR,79.028,SOFT,23.0,20.0
SAR,78.91,SOFT,24.0,20.0
SAR,79.212,SOFT,25.0,20.0
SAR,82.128,SOFT,26.0,20.0
SAR,83.12,SOFT,27.0,20.0
SAR,92.385,SOFT,28.0,20.0
SAR,117.918,SOFT,29.0,20.0
SAR,102.041,INTERMEDIATE,1.0,20.0
SAR,98.806,INTERMEDIATE,2.0,19.0
SAR,101.078,INTERMEDIATE,3.0,19.0
SAR,102.285,INTERMEDIATE,4.0,18.0
SAR,118.063,INTERMEDIATE,5.0,18.0
SAR,102.599,INTERMEDIATE,6.0,18.0
SAR,103.687,INTERMEDIATE,7.0,18.0
SAR,102.558,INTERMEDIATE,8.0,18.0
SAR,100.969,INTERMEDIATE,9.0,18.0
SAR,99.586,INTERMEDIATE,10.0,18.0
SAR,103.289,INTERMEDIATE,11.0,18.0
SAR,98.302,INTERMEDIATE,12.0,18.0
SAR,98.073,INTERMEDIATE,13.0,18.0
SAR,96.293,INTERMEDIATE,14.0,18.0
SAR,99.467,INTERMEDIATE,15.0,18.0
SAR,91.921,INTERMEDIATE,16.0,18.0
SAR,93.193,INTERMEDIATE,17.0,18.0
SAR,118.263,INTERMEDIATE,18.0,18.0
SAR,89.015,INTERMEDIATE,19.0,18.0
SAR,92.354,INTERMEDIATE,20.0,18.0
SAR,87.137,INTERMEDIATE,21.0,18.0
SAR,87.954,INTERMEDIATE,22.0,18.0
SAR,87.968,INTERMEDIATE,23.0,18.0
SAR,89.076,INTERMEDIATE,24.0,18.0
MAG,98.425,HARD,1.0,16.0
MAG,80.175,HARD,2.0,16.0
MAG,79.929,HARD,3.0,16.0
MAG,80.407,HARD,4.0,16.0
MAG,80.224,HARD,5.0,16.0
MAG,79.352,HARD,6.0,16.0
MAG,79.512,HARD,7.0,16.0
MAG,79.052,HARD,8.0,16.0
MAG,78.914,HARD,9.0,16.0
MAG,79.929,HARD,10.0,16.0
MAG,79.824,HARD,11.0,16.0
MAG,80.487,HARD,12.0,16.0
MAG,80.886,HARD,13.0,16.0
MAG,80.328,HARD,14.0,16.0
MAG,80.287,HARD,15.0,16.0
MAG,80.464,HARD,16.0,16.0
MAG,79.206,HARD,17.0,15.0
MAG,78.727,HARD,18.0,14.0
MAG,78.445,HARD,19.0,14.0
MAG,78.354,HARD,20.0,14.0
MAG,78.8,HARD,21.0,14.0
MAG,78.767,HARD,22.0,14.0
MAG,78.926,HARD,23.0,14.0
MAG,78.497,HARD,24.0,14.0
MAG,78.694,HARD,25.0,14.0
MAG,79.023,HARD,26.0,14.0
MAG,79.849,HARD,27.0,14.0
MAG,79.768,HARD,28.0,14.0
MAG,79.91,HARD,29.0,14.0
MAG,79.753,HARD,30.0,14.0
MAG,79.276,HARD,31.0,14.0
MAG,81.543,HARD,32.0,14.0
MAG,80.882,HARD,33.0,14.0
MAG,78.747,HARD,34.0,14.0
MAG,79.274,HARD,35.0,14.0
MAG,80.942,HARD,36.0,14.0
MAG,78.849,HARD,37.0,14.0
MAG,78.498,HARD,38.0,14.0
MAG,78.634,HARD,39.0,14.0
MAG,78.508,HARD,40.0,14.0
MAG,78.351,HARD,41.0,14.0
MAG,78.63,HARD,42.0,14.0
MAG,78.522,HARD,43.0,14.0
MAG,78.447,HARD,44.0,14.0
MAG,78.92,HARD,45.0,14.0
MAG,78.384,HARD,46.0,14.0
MAG,78.685,HARD,47.0,14.0
MAG,78.745,HARD,48.0,14.0
MAG,78.854,HARD,49.0,14.0
MAG,80.301,HARD,50.0,14.0
MAG,85.595,HARD,51.0,13.0
MAG,90.696,HARD,52.0,13.0
MAG,98.955,HARD,53.0,12.0
