Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,PitInTime,PitOutTime,TrackStatus,IsPersonalBest,year,gp,session_code,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,speed_mean,speed_max,throttle_mean,brake_mean,rpm_mean,gear_mean
VER,1,Red Bull Racing,59.0,2.0,INTERMEDIATE,4.0,True,1.0,103.791,28.509,48.45,26.832,,,12,False,2023,Monaco,R,0 days 02:20:42.976000,24.0,52.0,1013.2,True,30.1,127,0.6,114.04092071611254,261.0,26.85933503836317,0.329923273657289,8447.6547314578,2.585677749360614
VER,1,Red Bull Racing,60.0,2.0,INTERMEDIATE,5.0,True,1.0,101.54,28.156,47.156,26.228,,,12,False,2023,Monaco,R,0 days 02:21:42.974000,24.0,50.0,1013.2,True,29.7,150,0.8,115.984375,264.0,27.380208333333332,0.328125,8434.643229166666,2.7005208333333335
VER,1,Red Bull Racing,61.0,2.0,INTERMEDIATE,6.0,True,1.0,100.797,26.984,47.662,26.151,,,12,False,2023,Monaco,R,0 days 02:23:42.972000,23.8,47.0,1013.2,True,29.5,142,0.6,118.9627659574468,261.0,30.050531914893618,0.3324468085106383,8597.148936170213,2.720744680851064
VER,1,Red Bull Racing,62.0,2.0,INTERMEDIATE,7.0,True,1.0,99.272,26.805,46.575,25.892,,,1,False,2023,Monaco,R,0 days 02:25:42.970000,23.5,58.0,1013.2,True,28.7,147,1.0,117.33060109289617,267.0,27.6448087431694,0.30327868852459017,8440.043715846994,2.762295081967213
VER,1,Red Bull Racing,63.0,2.0,INTERMEDIATE,8.0,True,1.0,99.61,26.537,47.112,25.961,,,1,False,2023,Monaco,R,0 days 02:26:42.969000,23.5,62.0,1013.2,True,28.4,132,1.3,116.7597911227154,264.0,28.30809399477807,0.29765013054830286,8354.44908616188,2.733681462140992
VER,1,Red Bull Racing,64.0,2.0,INTERMEDIATE,9.0,True,1.0,98.364,26.081,46.953,25.33,,,1,False,2023,Monaco,R,0 days 02:28:42.967000,23.1,65.0,1013.2,True,27.7,145,1.7,120.71159029649596,267.0,29.40431266846361,0.29380053908355797,8480.962264150943,2.849056603773585
VER,1,Red Bull Racing,65.0,2.0,INTERMEDIATE,10.0,True,1.0,97.16,25.762,46.617,24.781,,,1,False,2023,Monaco,R,0 days 02:30:42.980000,23.0,66.0,1013.2,True,27.2,141,1.6,121.35185185185185,268.0,30.494708994708994,0.29894179894179895,8477.579365079366,2.9074074074074074
VER,1,Red Bull Racing,66.0,2.0,INTERMEDIATE,11.0,True,1.0,94.035,25.164,45.389,23.482,,,1,False,2023,Monaco,R,0 days 02:31:42.979000,23.1,67.0,1013.2,True,27.4,134,1.6,126.17403314917127,265.0,32.55524861878453,0.30386740331491713,8655.403314917126,2.9696132596685083
VER,1,Red Bull Racing,67.0,2.0,INTERMEDIATE,12.0,True,1.0,92.921,24.664,45.275,22.982,,,1,False,2023,Monaco,R,0 days 02:33:42.993000,23.2,66.0,1013.2,True,27.3,142,1.7,125.94166666666666,265.0,33.66111111111111,0.2916666666666667,8593.46388888889,2.975
VER,1,Red Bull Racing,68.0,2.0,INTERMEDIATE,13.0,True,1.0,93.659,24.462,45.428,23.769,,,1,False,2023,Monaco,R,0 days 02:34:42.992000,23.1,65.0,1013.2,True,27.4,152,1.7,126.35919540229885,270.0,32.077586206896555,0.3275862068965517,8506.652298850575,3.0833333333333335
